simulate,inverse(theorical),identity,error
0.111971699,0.1119752195,0.112,0.02212545186
0.1129710939,0.1129747744,0.113,0.02232350238
0.1139704793,0.1139743255,0.114,0.02252151975
0.1149698547,0.1149738726,0.115,0.02271950371
0.1159692202,0.1159734158,0.116,0.02291745401
0.1169685756,0.116972955,0.117,0.02311537038
0.1179679206,0.1179724904,0.118,0.02331325258
0.1189672551,0.1189720218,0.119,0.02351110035
0.119966579,0.1199715493,0.12,0.02370891343
0.1209658921,0.1209710729,0.121,0.02390669158
0.1219651942,0.1219705926,0.122,0.02410443455
0.1229644852,0.1229701084,0.123,0.02430214207
0.1239637648,0.1239696202,0.124,0.02449981391
0.1249630329,0.1249691282,0.125,0.0246974498
0.1259622893,0.1259686322,0.126,0.02489504951
0.1269615338,0.1269681324,0.127,0.02509261279
0.1279607662,0.1279676286,0.128,0.02529013939
0.1289599863,0.128967121,0.129,0.02548762906
0.129959194,0.1299666094,0.13,0.02568508156
0.130958389,0.1309660939,0.131,0.02588249664
0.1319575712,0.1319655746,0.132,0.02607987406
0.1329567402,0.1329650513,0.133,0.02627721358
0.133955896,0.1339645241,0.134,0.02647451496
0.1349550383,0.1349639931,0.135,0.02667177795
0.1359541669,0.1359634582,0.136,0.02686900232
0.1369532815,0.1369629193,0.137,0.02706618783
0.137952382,0.1379623766,0.138,0.02726333423
0.1389514682,0.13896183,0.139,0.0274604413
0.1399505397,0.1399612795,0.14,0.02765750879
0.1409495964,0.1409607251,0.141,0.02785453647
0.141948638,0.1419601668,0.142,0.02805152411
0.1429476644,0.1429596047,0.143,0.02824847147
0.1439466751,0.1439590387,0.144,0.02844537832
0.1449456701,0.1449584687,0.145,0.02864224443
0.1459446491,0.145957895,0.146,0.02883906957
0.1469436118,0.1469573173,0.147,0.02903585351
0.1479425579,0.1479567358,0.148,0.02923259601
0.1489414872,0.1489561503,0.149,0.02942929686
0.1499403995,0.1499555611,0.15,0.02962595582
0.1509392944,0.1509549679,0.151,0.02982257268
0.1519381717,0.1519543709,0.152,0.0300191472
0.1529370312,0.15295377,0.153,0.03021567916
0.1539358725,0.1539531653,0.154,0.03041216834
0.1549346954,0.1549525566,0.155,0.03060861452
0.1559334995,0.1559519442,0.156,0.03080501748
0.1569322847,0.1569513278,0.157,0.031001377
0.1579310506,0.1579507076,0.158,0.03119769285
0.1589297969,0.1589500836,0.159,0.03139396483
0.1599285234,0.1599494557,0.16,0.03159019272
0.1609272296,0.1609488239,0.161,0.03178637629
0.1619259154,0.1619481883,0.162,0.03198251535
0.1629245803,0.1629475489,0.163,0.03217860966
0.1639232242,0.1639469056,0.164,0.03237465903
0.1649218466,0.1649462584,0.165,0.03257066324
0.1659204473,0.1659456074,0.166,0.03276662208
0.1669190259,0.1669449526,0.167,0.03296253535
0.1679175821,0.1679442939,0.168,0.03315840283
0.1689161156,0.1689436314,0.169,0.03335422432
0.169914626,0.169942965,0.17,0.03354999961
0.170913113,0.1709422948,0.171,0.03374572851
0.1719115762,0.1719416208,0.172,0.0339414108
0.1729100153,0.1729409429,0.173,0.03413704628
0.1739084299,0.1739402612,0.174,0.03433263477
0.1749068198,0.1749395757,0.175,0.03452817604
0.1759051844,0.1759388863,0.176,0.03472366992
0.1769035236,0.1769381932,0.177,0.03491911619
0.1779018368,0.1779374962,0.178,0.03511451467
0.1789001237,0.1789367953,0.179,0.03530986516
0.1798983839,0.1799360907,0.18,0.03550516747
0.1808966172,0.1809353822,0.181,0.0357004214
0.1818948229,0.18193467,0.182,0.03589562676
0.1828930009,0.1829339539,0.183,0.03609078337
0.1838911506,0.183933234,0.184,0.03628589103
0.1848892717,0.1849325102,0.185,0.03648094956
0.1858873638,0.1859317827,0.186,0.03667595878
0.1868854265,0.1869310514,0.187,0.03687091849
0.1878834593,0.1879303162,0.188,0.03706582851
0.1888814619,0.1889295773,0.189,0.03726068867
0.1898794338,0.1899288346,0.19,0.03745549878
0.1908773746,0.190928088,0.191,0.03765025866
0.1918752839,0.1919273377,0.192,0.03784496813
0.1928731612,0.1929265835,0.193,0.03803962702
0.193871006,0.1939258256,0.194,0.03823423516
0.1948688181,0.1949250639,0.195,0.03842879236
0.1958665968,0.1959242983,0.196,0.03862329845
0.1968643418,0.196923529,0.197,0.03881775326
0.1978620526,0.1979227559,0.198,0.03901215663
0.1988597287,0.198921979,0.199,0.03920650838
