simulate,inverse,identity,error
0.9031908235,1.111923934,1.11,0.1733273825
0.9065002044,1.121963704,1.12,0.1753306986
0.9097113843,1.132001342,1.13,0.1771098781
0.9128262449,1.142036657,1.14,0.17865409
0.915846697,1.152069452,1.15,0.1799523348
0.9187746755,1.162099524,1.16,0.1809934366
0.9216121352,1.172126663,1.17,0.1817660359
0.9243610459,1.182150651,1.18,0.182258581
0.9270233884,1.192171266,1.19,0.1824593189
0.9296011504,1.202188275,1.2,0.1823562863
0.9320963226,1.212201441,1.21,0.1819372991
0.9345108946,1.222210517,1.22,0.1811899421
0.9368468523,1.232215249,1.23,0.1801015581
0.9391061737,1.242215375,1.24,0.178659236
0.9412908263,1.252210622,1.25,0.176849799
0.9434027642,1.262200713,1.26,0.1746597922
0.9454439253,1.272185358,1.27,0.1720754696
0.9474162287,1.28216426,1.28,0.1690827807
0.949321573,1.292137109,1.29,0.1656673573
0.9511618334,1.302103588,1.3,0.1618144987
0.9529388605,1.31206337,1.31,0.1575091581
0.954654478,1.322016114,1.32,0.1527359274
0.9563104817,1.331961471,1.33,0.1474790221
0.9579086377,1.341899078,1.34,0.1417222666
0.9594506814,1.351828563,1.35,0.1354490782
0.9609383164,1.361749537,1.36,0.1286424516
0.9623732134,1.371661604,1.37,0.1212849426
0.9637570098,1.381564349,1.38,0.1133586528
0.9650913086,1.391457348,1.39,0.1048452126
0.9663776782,1.401340161,1.4,0.09572576539
0.9676176519,1.411212331,1.41,0.08598095089
0.9688127275,1.421073391,1.42,0.07559088905
0.9699643673,1.430922853,1.43,0.06453516348
0.9710739978,1.440760216,1.44,0.05279280521
0.9721430098,1.450584963,1.45,0.04034227645
0.9731727583,1.460396557,1.46,0.02716145451
0.9741645629,1.470194446,1.47,0.01322761593
0.9751197079,1.479978058,1.48,-0.001482579192
0.9760394423,1.489746803,1.49,-0.01699310254
0.9769249806,1.499500071,1.5,-0.03332857255
0.9777775028,1.509237235,1.51,-0.05051426902
0.9785981551,1.518957643,1.52,-0.06857614717
0.9793880501,1.528660625,1.53,-0.0875408512
0.9801482674,1.53834549,1.54,-0.1074357272
0.9808798543,1.548011523,1.55,-0.1282888353
0.9815838261,1.557657988,1.56,-0.150128961
0.9822611668,1.567284126,1.57,-0.1729856261
0.9829128298,1.576889152,1.58,-0.1968890977
0.9835397385,1.586472261,1.59,-0.2218703968
0.9841427866,1.596032619,1.6,-0.247961306
0.9847228393,1.605569371,1.61,-0.2751943751
0.9852807335,1.615081633,1.62,-0.3036029257
0.9858172788,1.624568497,1.63,-0.3332210546
0.986333258,1.634029028,1.64,-0.3640836348
0.9868294277,1.643462266,1.65,-0.3962263156
0.987306519,1.65286722,1.66,-0.4296855201
0.9877652385,1.662242876,1.67,-0.464498441
0.9882062685,1.671588189,1.68,-0.5007030341
0.988630268,1.680902088,1.69,-0.5383380095
0.989037873,1.690183472,1.7,-0.5774428204
0.9894296977,1.699431214,1.71,-0.6180576489
0.9898063346,1.708644158,1.72,-0.6602233898
0.9901683553,1.717821118,1.73,-0.7039816304
0.9905163114,1.726960881,1.74,-0.7493746282
0.9908507347,1.736062208,1.75,-0.7964452846
0.9911721382,1.745123827,1.76,-0.8452371158
0.9914810163,1.754144442,1.77,-0.8957942195
0.9917778456,1.76312273,1.78,-0.9481612389
0.9920630856,1.772057339,1.79,-1.002383321
0.992337179,1.780946891,1.8,-1.058506075
0.9926005522,1.789789983,1.81,-1.116575519
0.9928536162,1.798585188,1.82,-1.176638033
0.9930967669,1.807331053,1.83,-1.238740296
0.9933303853,1.816026102,1.84,-1.302929232
0.9935548387,1.824668839,1.85,-1.369251935
0.9937704804,1.833257746,1.86,-1.437755609
0.9939776508,1.841791284,1.87,-1.508487483
0.9941766775,1.850267899,1.88,-1.58149474
0.9943678758,1.858686018,1.89,-1.656824428
0.9945515493,1.867044056,1.9,-1.734523375
0.9947279899,1.875340412,1.91,-1.814638094
0.9948974787,1.883573478,1.92,-1.897214688
0.9950602862,1.891741634,1.93,-1.982298749
0.9952166724,1.899843256,1.94,-2.06993525
0.9953668878,1.907876715,1.95,-2.160168441
0.9955111731,1.915840382,1.96,-2.253041736
0.9956497598,1.923732627,1.97,-2.348597593
0.9957828706,1.931551827,1.98,-2.446877404
0.9959107199,1.939296365,1.99,-2.547921368
